Suma,Media,Mediana,Moda,Max,Min
1748.9,3.52,3.5,3.6,7.2,2.1
4122.0,3.67,3.6,3.5,5.7,2.9
3.9,3.9,3.9,3.9,3.9,3.9
26.2,2.02,1.8,2.7,2.7,1.5
19.1,3.18,3.2,2.3,3.9,2.3
1400.1,3.86,3.8,3.7,4.9,3.2
7.1,3.55,3.55,3.3,3.8,3.3
176.1,3.67,3.8,3.9,4.2,2.7
98.2,2.81,2.9,3.0,3.3,2.3
411.1,3.61,3.6,3.6,4.5,2.8
49.9,3.84,3.8,3.8,4.3,3.5
18.3,3.66,3.6,3.6,4.0,3.5
1770.0,3.77,3.8,3.8,5.5,2.1
3.0,3.0,3.0,3.0,3.0,3.0
1011.6,3.55,3.6,3.5,5.1,2.4
82.5,3.75,3.7,3.6,4.2,3.3
38.6,2.57,2.4,1.8,4.2,1.3
3.8,3.8,3.8,3.8,3.8,3.8
70.2,3.69,3.7,3.6,4.1,3.4
278.3,4.35,4.3,4.0,6.1,3.7
3.9,3.9,3.9,3.9,3.9,3.9
1960.5,3.62,3.6,3.6,4.3,3.2
891.5,3.89,3.8,3.8,5.6,3.3
7.300000000000001,3.65,3.65,3.6,3.7,3.6
21.4,3.57,3.55,3.5,3.9,3.1
23.2,3.31,3.2,2.9,4.0,2.9
9157.2,3.63,3.6,3.6,4.3,3.0
31.0,3.88,3.85,3.7,4.3,3.6
207.9,3.85,3.8,3.7,4.7,3.3
699.2,3.64,3.6,3.6,4.8,2.8
7.699999999999999,3.85,3.85,3.8,3.9,3.8
15.5,2.58,2.6,2.6,3.2,2.0
380.2,3.84,3.8,3.7,7.1,3.2
15.8,3.95,3.9,3.8,4.2,3.8
2.5,2.5,2.5,2.5,2.5,2.5
134.8,3.85,3.9,4.0,4.4,3.3
37268.2,3.5,3.5,3.4,7.5,1.5
344.1,3.78,3.8,3.8,4.7,3.4
307.5,2.65,2.6,1.9,4.1,1.2
8.4,2.8,2.7,2.6,3.1,2.6
5.4,2.7,2.7,2.5,2.9,2.5
7.0,3.5,3.5,3.4,3.6,3.4
103.9,3.35,3.7,3.7,4.0,2.3
190.8,3.89,3.9,3.7,4.5,3.4
28.3,3.54,3.5,3.2,3.9,3.2
9.8,3.27,3.5,3.5,3.5,2.8
6.5,3.25,3.25,3.0,3.5,3.0
2768.2,3.62,3.6,3.6,4.1,3.0
105.5,3.91,3.9,3.7,4.5,3.6
91.7,3.99,4.0,3.9,4.6,3.5
8.0,4.0,4.0,3.8,4.2,3.8
22.1,3.68,3.75,3.8,3.8,3.4
19.1,3.82,3.7,3.7,4.4,3.5
32.7,4.09,4.15,3.6,4.5,3.6
4392.2,3.59,3.6,3.6,4.6,0.6
41.7,3.79,3.7,3.7,4.6,3.3
